0,374,0,0,0,0,0
0,374,0,0,0,0,0
0,374,0,0,0,0,0
0,374,0,0,0,0,0
0,374,0,0,0,0,0
0,374,0,0,0,0,0
0,374,0,0,0,0,0
0,374,0,0,0,0,0
0,374,0,0,0,0,0
0,374,0,0,0,0,0
0,374,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
481,0,0,0,0,0,0
451,0,0,0,0,0,0
421,0,0,0,0,0,0
391,0,0,0,0,0,0
360,0,0,0,0,0,0
329,0,0,0,0,0,0
297,0,0,0,0,0,0
265,0,0,0,0,0,0
234,0,0,0,0,0,0
202,0,0,0,0,0,0
169,0,0,0,0,0,1
136,0,0,0,0,0,1
95,0,0,0,0,0,1
57,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,487,0,0,0,0,0
0,451,0,0,0,0,0
0,415,0,0,0,0,0
0,380,0,0,0,0,0
0,345,0,0,0,0,0
0,309,0,0,0,0,0
0,273,0,0,0,0,0
0,237,0,0,0,0,0
0,201,0,0,0,0,0
0,165,0,0,0,0,1
0,480,0,0,0,0,0
0,432,0,0,0,0,0
0,403,0,0,0,0,0
0,367,0,0,0,0,0
0,331,0,0,0,0,0
0,295,0,0,0,0,0
0,259,0,0,0,0,0
0,223,0,0,0,0,0
0,187,0,0,0,0,1
501,145,0,0,0,0,1
465,109,0,0,0,0,0
429,73,0,0,0,0,0
393,37,0,0,0,0,0
357,0,0,0,0,0,0
321,0,0,0,0,0,0
285,0,0,0,0,0,0
255,0,0,0,0,0,0
219,0,0,0,0,0,0
183,0,0,0,0,0,0
147,0,0,0,0,0,1
105,0,0,0,0,0,1
465,0,0,0,0,0,0
429,0,0,0,0,0,0
387,0,0,0,0,0,0
351,0,0,0,0,0,0
315,0,0,0,0,0,0
279,0,0,0,0,0,0
243,474,0,0,0,0,0
207,438,0,0,0,0,0
171,402,0,0,0,0,1
135,366,0,0,0,0,0
93,324,0,0,0,0,0
57,288,0,0,0,0,0
0,252,0,0,0,0,0
0,216,0,0,0,0,0
